"filename", "language", "Markdown", "YAML", "JSON", "HTML", "XML", "C++", "Swift", "Dart", "Groovy", "Properties", "CSS", "comment", "blank", "total"
"c:\Users\Kostya\Desktop\webant\lib\bloc\full_screen_photo\full_screen_photo_bloc.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 70, 0, 0, 0, 1, 9, 80
"c:\Users\Kostya\Desktop\webant\lib\bloc\full_screen_photo\full_screen_photo_event.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 4, 11
"c:\Users\Kostya\Desktop\webant\lib\bloc\full_screen_photo\full_screen_photo_state.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 10, 24
"c:\Users\Kostya\Desktop\webant\lib\bloc\photo_add_bloc\photo_add_bloc.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 43, 0, 0, 0, 1, 5, 49
"c:\Users\Kostya\Desktop\webant\lib\bloc\photo_add_bloc\photo_add_event.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 6, 16
"c:\Users\Kostya\Desktop\webant\lib\bloc\photo_add_bloc\photo_add_state.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 7, 24
"c:\Users\Kostya\Desktop\webant\lib\bloc\photo_bloc\photo_bloc.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 16, 49
"c:\Users\Kostya\Desktop\webant\lib\bloc\photo_bloc\photo_event.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 10, 20
"c:\Users\Kostya\Desktop\webant\lib\bloc\photo_bloc\photo_state.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 3, 18, 36
"c:\Users\Kostya\Desktop\webant\lib\bloc\settings_bloc\settings_bloc.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 2, 8, 29
"c:\Users\Kostya\Desktop\webant\lib\bloc\settings_bloc\settings_event.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 4, 10
"c:\Users\Kostya\Desktop\webant\lib\bloc\settings_bloc\settings_state.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 10, 24
"c:\Users\Kostya\Desktop\webant\lib\bloc\user_bloc\user_bloc.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 86, 0, 0, 0, 1, 10, 97
"c:\Users\Kostya\Desktop\webant\lib\bloc\user_bloc\user_event.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 9, 26
"c:\Users\Kostya\Desktop\webant\lib\bloc\user_bloc\user_state.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 8, 25
"c:\Users\Kostya\Desktop\webant\lib\bottom_bar\add_photo\photo_add.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 200, 0, 0, 0, 8, 19, 227
"c:\Users\Kostya\Desktop\webant\lib\bottom_bar\add_photo\photo_add2.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Kostya\Desktop\webant\lib\bottom_bar\add_photo\photo_add_builder.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 72, 0, 0, 0, 5, 6, 83
"c:\Users\Kostya\Desktop\webant\lib\bottom_bar\add_photo\root_add.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Kostya\Desktop\webant\lib\bottom_bar\photos\photos2_holder.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 152, 0, 0, 0, 25, 24, 201
"c:\Users\Kostya\Desktop\webant\lib\bottom_bar\photos\photos_holder.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 42, 0, 0, 0, 2, 5, 49
"c:\Users\Kostya\Desktop\webant\lib\bottom_bar\photos\screens\full_screen_image.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 129, 0, 0, 0, 2, 7, 138
"c:\Users\Kostya\Desktop\webant\lib\bottom_bar\photos\screens\full_screen_image_build.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 2, 6, 33
"c:\Users\Kostya\Desktop\webant\lib\bottom_bar\photos\screens\new_photos.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 205, 0, 0, 0, 43, 29, 277
"c:\Users\Kostya\Desktop\webant\lib\bottom_bar\photos\screens\photos2.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 191, 0, 0, 0, 11, 22, 224
"c:\Users\Kostya\Desktop\webant\lib\bottom_bar\profile\screens\user_profile.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 74, 0, 0, 0, 1, 5, 80
"c:\Users\Kostya\Desktop\webant\lib\bottom_bar\profile\screens\user_settings.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 48, 0, 0, 0, 2, 18, 68
"c:\Users\Kostya\Desktop\webant\lib\bottom_bar\profile\widgets\header_profile.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 67, 0, 0, 0, 2, 11, 80
"c:\Users\Kostya\Desktop\webant\lib\bottom_bar\profile\widgets\user_settings_widget.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 257, 0, 0, 0, 7, 16, 280
"c:\Users\Kostya\Desktop\webant\lib\constants.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 59, 0, 0, 0, 0, 25, 84
"c:\Users\Kostya\Desktop\webant\lib\interceptor\auth2_interceptor.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 46, 0, 0, 0, 0, 9, 55
"c:\Users\Kostya\Desktop\webant\lib\local_storage\hive_load.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 45, 0, 0, 0, 0, 14, 59
"c:\Users\Kostya\Desktop\webant\lib\local_storage\hive_save.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 38, 0, 0, 0, 0, 12, 50
"c:\Users\Kostya\Desktop\webant\lib\main.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 40, 0, 0, 0, 2, 7, 49
"c:\Users\Kostya\Desktop\webant\lib\models\file.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 4, 19
"c:\Users\Kostya\Desktop\webant\lib\models\photo\photo.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 8, 44
"c:\Users\Kostya\Desktop\webant\lib\models\photo_add\media_object_add.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 6, 32
"c:\Users\Kostya\Desktop\webant\lib\models\photo_add\photo_post.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 39, 0, 0, 0, 0, 13, 52
"c:\Users\Kostya\Desktop\webant\lib\models\user\client\client_get.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 8, 43
"c:\Users\Kostya\Desktop\webant\lib\models\user\client\client_post.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 6, 29
"c:\Users\Kostya\Desktop\webant\lib\models\user\token\token_get.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 8, 43
"c:\Users\Kostya\Desktop\webant\lib\models\user\user_get.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 48, 0, 0, 0, 0, 7, 55
"c:\Users\Kostya\Desktop\webant\lib\models\user\user_post.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 39, 0, 0, 0, 0, 14, 53
"c:\Users\Kostya\Desktop\webant\lib\my_home_page.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 63, 0, 0, 0, 5, 8, 76
"c:\Users\Kostya\Desktop\webant\lib\root_page.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 67, 0, 0, 0, 3, 6, 76
"c:\Users\Kostya\Desktop\webant\lib\services\photo\photos_provider.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 34, 0, 0, 0, 6, 16, 56
"c:\Users\Kostya\Desktop\webant\lib\services\photo_add\media_object_provider.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 35, 0, 0, 0, 1, 5, 41
"c:\Users\Kostya\Desktop\webant\lib\services\photo_add\photo_add_provider.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 40, 0, 0, 0, 0, 3, 43
"c:\Users\Kostya\Desktop\webant\lib\services\user\client_provider.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 2, 37
"c:\Users\Kostya\Desktop\webant\lib\services\user\get_user.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 31, 0, 0, 0, 2, 5, 38
"c:\Users\Kostya\Desktop\webant\lib\services\user\token_provider.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 34, 0, 0, 0, 2, 7, 43
"c:\Users\Kostya\Desktop\webant\lib\services\user\user_provider.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 50, 0, 0, 0, 0, 3, 53
"c:\Users\Kostya\Desktop\webant\lib\services\user\user_provider_create.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 2, 5, 37
"c:\Users\Kostya\Desktop\webant\lib\welcome_screen\screens\sign_in.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 149, 0, 0, 0, 1, 11, 161
"c:\Users\Kostya\Desktop\webant\lib\welcome_screen\screens\sign_up.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 172, 0, 0, 0, 4, 13, 189
"c:\Users\Kostya\Desktop\webant\lib\welcome_screen\screens\welcome_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 64, 0, 0, 0, 0, 3, 67
"c:\Users\Kostya\Desktop\webant\lib\widgets\custom_pass_with_confim.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 83, 0, 0, 0, 2, 18, 103
"c:\Users\Kostya\Desktop\webant\lib\widgets\custom_password_field.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 75, 0, 0, 0, 2, 9, 86
"c:\Users\Kostya\Desktop\webant\lib\widgets\custom_text_field.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 69, 0, 0, 0, 4, 10, 83
"c:\Users\Kostya\Desktop\webant\pubspec.yaml", "YAML", 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 44, 20, 108
"c:\Users\Kostya\Desktop\webant\test\widget_test.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 10, 7, 31
"c:\Users\Kostya\Desktop\webant\web\index.html", "HTML", 0, 0, 0, 90, 0, 0, 0, 0, 0, 0, 0, 14, 5, 109
"c:\Users\Kostya\Desktop\webant\web\manifest.json", "JSON", 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 24
"c:\Users\Kostya\Desktop\webant\web\splash\style.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 0, 6, 44
"Total", "-", 13, 44, 228, 90, 300, 1, 12, 3409, 83, 8, 38, 264, 659, 5149
